Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Очень страшное кино;Кинен Айвори Уайанс;США;комедия;2000;703;8.02;1
Веселые каникулы;Адриан Грюнберг;США;боевик, драма, криминал, триллер;2012;704;8.02;1
Клятва;Майкл Сакси;США, Германия, Франция, Бразилия, Великобритания, Австралия;драма, мелодрама;2012;705;8.02;1
Козырные тузы;Джо Карнахан;США, Великобритания, Франция;боевик, драма, криминал, триллер;2006;706;8.02;0
Дорога перемен;Сэм Мендес;США, Великобритания;драма, мелодрама;2008;707;8.02;0
Потомки;Александр Пэйн;США;драма, комедия;2011;708;8.02;1
Зловещие мертвецы 2;Сэм Рейми;США;комедия, ужасы, фэнтези;1987;709;8.02;1
Ограбление по-итальянски;Ф. Гэри Грей;США, Франция, Великобритания, Италия;боевик, криминал, триллер;2003;710;8.02;0
Эта - дурацкая - любовь;Гленн Фикарра, Джон Рекуа;США;драма, комедия, мелодрама;2011;711;8.02;0
Миссис Даутфайр;Крис Коламбус;США;комедия, мелодрама;1993;712;8.02;0
Реальные упыри;Джемейн Клемент, Тайка Вайтити;Новая Зеландия;комедия;2014;713;8.02;0
Шаг вперед 2: Улицы;Джон М. Чу;США;драма, мелодрама, музыка;2008;714;8.02;1
Плохие парни 2;Майкл Бэй;США;боевик, комедия, триллер;2003;715;8.01;1
Знакомство с Факерами;Джей Роач;США;комедия, мелодрама;2004;716;8.01;0
Зодиак;Дэвид Финчер;США;биографический, драма, криминал, триллер;2007;717;8.01;1
Ганнибал;Ридли Скотт;США, Великобритания;детектив, драма, криминал, триллер;2001;718;8.01;0
Гарри Поттер и Дары смерти: Часть 1;Дэвид Йэтс;США, Великобритания;боевик, детектив, приключения, фэнтези;2010;719;8.0;0
Хранители;Зак Снайдер;США;боевик, кинокомикс, триллер, фантастика, фэнтези;2009;720;8.0;3
Гарри Поттер и орден Феникса;Дэвид Йэтс;США, Великобритания;приключения, семейный, фэнтези;2007;721;8.0;1
Kingsman: Секретная служба;Мэттью Вон;Великобритания;боевик, кинокомикс, криминал, приключения, триллер;2014;722;8.0;1
Лемони Сникет: 33 несчастья;Брэд Силберлинг;США, Германия;комедия, приключения, семейный, фэнтези;2004;723;8.0;1
Глубокое синее море;Ренни Харлин;США, Австралия;боевик, триллер, ужасы;1999;724;8.0;0
Место под соснами;Дерек Сьянфранс;США;драма, криминал, триллер;2012;725;8.0;1
